JobID|JobName|Partition|State|AllocTRES|ElapsedRaw|
14775436|check_cores|normal|COMPLETED|cpu=2,mem=14200M,node=1|2|
14775436.batch|batch||COMPLETED|cpu=2,mem=14200M,node=1|2|
14775436.extern|extern||COMPLETED|cpu=2,mem=14200M,node=1|2|
14858548|hr5-016-01|normal|COMPLETED|cpu=32,mem=227200M,node=1|4|
14858548.batch|batch||COMPLETED|cpu=32,mem=227200M,node=1|4|
14858548.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|4|
14858548.0|ramses3d||COMPLETED|cpu=16,mem=113600M,node=1|4|
14858549|hr5-016-01|normal|CANCELLED by 43801||0|
14858550|cpl-016-01|normal|COMPLETED|cpu=32,mem=227200M,node=1|4|
14858550.batch|batch||COMPLETED|cpu=32,mem=227200M,node=1|4|
14858550.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|4|
14858550.0|ramses3d||COMPLETED|cpu=16,mem=113600M,node=1|4|
14858551|hr5-016-02|normal|COMPLETED|cpu=32,mem=227200M,node=1|2|
14858551.batch|batch||COMPLETED|cpu=32,mem=227200M,node=1|2|
14858551.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|2|
14858551.0|ramses3d||COMPLETED|cpu=32,mem=227200M,node=1|2|
14858553|hr5-032-01|normal|COMPLETED|cpu=64,mem=454400M,node=1|5|
14858553.batch|batch||COMPLETED|cpu=64,mem=454400M,node=1|5|
14858553.extern|extern||COMPLETED|cpu=64,mem=454400M,node=1|5|
14858553.0|ramses3d||COMPLETED|cpu=32,mem=227200M,node=1|5|
14858790|hr5-016-01|normal_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14858790.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|2|
14858790.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14858790.0|ramses3d||COMPLETED|cpu=16,mem=257554M,node=1|2|
14858791|hr5-016-02|normal_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14858791.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|2|
14858791.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14858791.0|ramses3d||COMPLETED|cpu=32,mem=257554M,node=1|1|
14858798|hr5-032-01|normal_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|3|
14858798.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|3|
14858798.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|3|
14858798.0|ramses3d||COMPLETED|cpu=32,mem=257554M,node=1|3|
14858800|hr5-032-02|normal_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|3|
14858800.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|3|
14858800.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|3|
14858800.0|ramses3d||COMPLETED|cpu=64,mem=257554M,node=1|2|
14858804|hr5-064-01|normal_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|6|
14858804.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|6|
14858804.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|6|
14858804.0|ramses3d||COMPLETED|cpu=64,mem=257554M,node=1|6|
14860423|hr5-016-01|normal|FAILED|cpu=32,mem=227200M,node=1|25|
14860423.batch|batch||FAILED|cpu=32,mem=227200M,node=1|25|
14860423.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|25|
14860423.0|ramses3d||FAILED|cpu=16,mem=113600M,node=1|24|
14860424|hr5-016-02|normal|FAILED|cpu=32,mem=227200M,node=1|5|
14860424.batch|batch||FAILED|cpu=32,mem=227200M,node=1|5|
14860424.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|5|
14860424.0|ramses3d||FAILED|cpu=32,mem=227200M,node=1|4|
14860429|hr5-016-01|normal|TIMEOUT|cpu=32,mem=227200M,node=1|30024|
14860429.batch|batch||CANCELLED|cpu=32,mem=227200M,node=1|30025|
14860429.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|30024|
14860429.0|ramses3d||FAILED|cpu=16,mem=113600M,node=1|30029|
14860430|hr5-016-02|normal|TIMEOUT|cpu=32,mem=227200M,node=1|30024|
14860430.batch|batch||CANCELLED|cpu=32,mem=227200M,node=1|30025|
14860430.extern|extern||COMPLETED|cpu=32,mem=227200M,node=1|30024|
14860430.0|ramses3d||FAILED|cpu=32,mem=227200M,node=1|30033|
14860432|hr5-032-01|normal|TIMEOUT|cpu=64,mem=454400M,node=1|30024|
14860432.batch|batch||CANCELLED|cpu=64,mem=454400M,node=1|30025|
14860432.extern|extern||COMPLETED|cpu=64,mem=454400M,node=1|30024|
14860432.0|ramses3d||FAILED|cpu=32,mem=227200M,node=1|30029|
14889185|hr5-016-01|olaf_c_core|CANCELLED by 43801||0|
14889186|hr5-016-02|olaf_c_core|CANCELLED by 43801||0|
14889187|hr5-032-01|olaf_c_core|CANCELLED by 43801||0|
14889190|hr5-016-01|long_cpu|CANCELLED by 43801|billing=100,cpu=144,mem=257554M,node=1|338783|
14889190.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|338784|
14889190.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|338783|
14889190.0|ramses3d||FAILED|cpu=16,mem=257554M,node=1|338788|
14889191|hr5-016-02|long_cpu|CANCELLED by 43801|billing=100,cpu=144,mem=257554M,node=1|256751|
14889191.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|256752|
14889191.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|256751|
14889191.0|ramses3d||FAILED|cpu=32,mem=257554M,node=1|256756|
14889192|hr5-032-01|long_cpu|CANCELLED by 43801|billing=100,cpu=144,mem=257554M,node=1|256752|
14889192.batch|batch||CANCELLED|cpu=144,mem=257554M,node=1|256753|
14889192.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|256752|
14889192.0|ramses3d||FAILED|cpu=32,mem=257554M,node=1|256757|
14889204|cpl-016-01|long_cpu|COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14889204.batch|batch||COMPLETED|cpu=144,mem=257554M,node=1|2|
14889204.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|2|
14889204.0|ramses3d-cpl||COMPLETED|cpu=16,mem=257554M,node=1|2|
14893278|cpl-016-01|long_cpu|FAILED|billing=100,cpu=144,mem=257554M,node=1|27|
14893278.batch|batch||FAILED|cpu=144,mem=257554M,node=1|27|
14893278.extern|extern||COMPLETED|billing=100,cpu=144,mem=257554M,node=1|27|
14893278.0|ramses3d-cpl||FAILED|cpu=16,mem=257554M,node=1|27|
14903318|comp-016-01|long_cpu|CANCELLED by 43801||0|
14903319|comp-016-01|long_cpu|CANCELLED by 43801||0|
